OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
3947,2020/07/05 23:00:00+00,1440,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,1,0,355956,174962,CYC
3948,2020/07/16 23:00:00+00,1630,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,357991,171456,A
3949,2021/01/07 00:00:00+00,1028,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,359287,173480,MCYC
3950,2020/07/11 23:00:00+00,2129,3,Slight,NT,Nose to Tail,1,1,1,0,0,0,0,354460,178216,CARS
3951,2021/01/17 00:00:00+00,2335,3,Slight,HO,Head On,5,2,0,0,0,0,1,359754,171013,CARS
3952,2021/01/27 00:00:00+00,1802,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,357777,173395,MCYC
3953,2020/07/07 23:00:00+00,1703,3,Slight,LC,Loss of Control,2,2,0,0,0,0,0,356389,173754,CARS
3954,2020/07/20 23:00:00+00,0735,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,357657,171451,CYC
3955,2020/07/07 23:00:00+00,0844,3,Slight,LC,Loss of Control,2,1,0,0,1,0,0,359509,172790,MCYC
3956,2020/07/10 23:00:00+00,1522,2,Serious,J2,Turning Movement from minor road,2,1,0,0,1,0,0,360634,173415,MCYC
3957,2020/07/10 23:00:00+00,1458,3,Slight,NT,Nose to Tail,3,2,0,0,0,0,0,356650,172623,CARS
3958,2020/07/11 23:00:00+00,1731,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,360883,173365,CARS
3959,2020/10/13 23:00:00+00,1510,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358556,174333,A
3960,2020/07/27 23:00:00+00,0728,3,Slight,NONE,Other,3,1,0,0,1,0,0,364060,176208,MCYC
3961,2020/12/09 00:00:00+00,0850,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,363909,173831,A
3962,2020/07/01 23:00:00+00,1045,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,357857,173150,C
3963,2021/01/29 00:00:00+00,0158,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,360125,174302,CARS
3964,2021/02/01 00:00:00+00,1718,3,Slight,NONE,Other,2,1,0,1,0,0,0,361816,174027,CYC
3965,2021/01/29 00:00:00+00,2105,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,1,0,0,358767,174382,MCYC
3966,2020/07/17 23:00:00+00,0710,3,Slight,LC,Loss of Control,1,1,0,0,0,0,0,359234,168980,CARS
3967,2020/08/03 23:00:00+00,1146,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,359847,173874,CARS
3968,2020/08/03 23:00:00+00,1610,3,Slight,J1,Turning Movement from major road,3,1,0,0,0,0,0,358073,170219,CARS
3969,2020/08/03 23:00:00+00,1432,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,361966,171967,CARS
3970,2021/05/25 23:00:00+00,1030,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,363065,175664,A
3971,2021/05/26 23:00:00+00,0840,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,360735,169838,CARS
3972,2021/05/26 23:00:00+00,1746,3,Slight,NONE,Other,2,1,0,0,0,0,0,361648,170993,CARS
3973,2021/05/25 23:00:00+00,1545,3,Slight,NONE,Other,2,1,0,1,0,0,0,358604,173326,CYC
3974,2021/05/27 23:00:00+00,1155,3,Slight,A,Adult pedestrian,1,1,1,0,1,0,0,358944,173366,A
3975,2021/05/25 23:00:00+00,1810,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,1,0,0,359036,172054,MCYC
3976,2021/05/28 23:00:00+00,1014,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,358175,173885,CARS
3977,2021/04/27 23:00:00+00,0922,2,Serious,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359696,172151,CYC
3978,2021/05/18 23:00:00+00,1658,3,Slight,NONE,Other,2,1,0,0,0,0,0,351858,177813,CARS
3979,2021/05/20 23:00:00+00,1530,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,357668,169032,C
3980,2021/05/21 23:00:00+00,1658,3,Slight,NT,Nose to Tail,4,4,0,0,0,0,0,356548,171504,CARS
3981,2021/04/19 23:00:00+00,1747,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359094,172563,CYC
3982,2021/05/31 23:00:00+00,1605,3,Slight,J,Turning movement ¿ unidentified priority,2,3,0,0,0,0,0,360730,170702,CARS
3983,2020/12/10 00:00:00+00,1651,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,360857,170769,E
3984,2021/05/25 23:00:00+00,1630,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,361706,172603,CYC
3985,2021/05/26 23:00:00+00,1014,3,Slight,NONE,Other,2,1,1,0,0,0,0,357150,178730,CARS
